# Results of java.text.BreakIterator.getLineInstance(Locale.ROOT) of OpenJDK 25.0.4.
# Each line: the text, with \uXXXX escapes for UTF-16 code units, a tab, and the
# boundaries that first() and next() return, as offsets in UTF-16 code units.
# The lines are prose samples, hand-written cases, every text of up to three
# characters over one character of each category, and generated texts.
The\u0020quick\u0020brown\u0020fox\u0020jumps\u0020over\u0020the\u0020lazy\u0020dog.	0 4 10 16 20 26 31 35 40 44
Flying\u0020Saucer\u0020renders\u0020XHTML\u0020and\u0020CSS\u00202.1\u0020to\u0020PDF,\u0020images,\u0020and\u0020Swing\u0020panels.	0 7 14 22 28 32 36 40 43 48 56 60 66 73
A\u0020well-known\u0020state-of-the-art\u0020line-breaking\u0020algorithm;\u0020see\u0020http://www.example.com/path/to/page.html?query=1&other=2#fragment\u0020for\u0020details.	0 2 7 13 19 22 26 30 35 44 55 59 64 70 78 95 100 125 129 137
Prices:\u0020$1,000.50,\u0020\u20ac2.500,75,\u002050%\u0020off\u0020(today\u0020only!)\u0020-\u0020call\u0020555-1234\u0020or\u0020e-mail\u0020sales@example.com.	0 8 19 30 34 38 45 52 54 59 63 68 71 73 78 92 96
He\u0020said,\u0020"Don't\u0020break\u0020here"\u0020and\u0020then\u0020left...\u0020or\u0020did\u0020he?	0 3 9 16 22 28 32 37 45 48 52 55
foo(bar)\u0020baz[0]\u0020qux{1}\u0020call()\u0020obj.method().field	0 3 9 12 16 19 23 29 30 34 43 48
C:\u005c\u005cUsers\u005c\u005cname\u005c\u005cfile.txt\u0020and\u0020/usr/local/bin/tool\u0020--flag=value\u0020-x	0 2 22 26 30 50 52 63 64 65
Tab\u0009separated\u0009values\u0020and\u0020a\u0020line\u000abreak\u0020and\u0020a\u0020CRLF\u000d\u000aend	0 4 14 21 25 27 32 38 42 44 50 53
non\u00a0breaking\u00a0space\u0020and\u0020soft\u00adhyphen\u0020and\u0020zero\u200bwidth\u200bspace\u0020and\u0020word\u2060joiner	0 19 23 28 35 39 56 60 71
\u4eca\u65e5\u306f\u826f\u3044\u5929\u6c17\u3067\u3059\u306d\u3002\u660e\u65e5\u3082\u6674\u308c\u308b\u3067\u3057\u3087\u3046\u3002	0 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 20 22
\u300c\u3053\u3093\u306b\u3061\u306f\u300d\u3068\u5f7c\u306f\u8a00\u3063\u305f\u3002\uff08\u30c6\u30b9\u30c8\uff09	0 2 3 4 5 7 8 9 10 12 14 16 17 19
\u4e2d\u6587\u6587\u672c\uff0c\u5305\u542b\u6807\u70b9\u7b26\u53f7\u3002English\u0020mixed\u0020\u4e2d\u6587\u0020text\u0020123\u0020\u548c\u002045.6%\u3002	0 1 2 3 5 6 7 8 9 10 12 20 26 27 29 34 38 40 46
\ud55c\uad6d\uc5b4\u0020\ud14d\uc2a4\ud2b8\u0020\uc785\ub2c8\ub2e4.	0 1 2 4 5 6 8 9 10 12
\u30b3\u30f3\u30d4\u30e5\u30fc\u30bf\u30fc\u3068\u30c7\u30fc\u30bf\u30fb\u30d9\u30fc\u30b9	0 1 2 5 7 8 10 11 12 14 15
Caf\u00e9\u0020na\u00efve\u0020r\u00e9sum\u00e9\u0020\u2014\u0020em\u0020dash\u0020\u2013\u0020en\u0020dash\u0020\u2026\u0020ellipsis	0 5 11 18 20 23 28 30 33 38 40 48
e\u0301\u0020combining\u0020marks\u0020a\u0308\u0304\u0020here	0 3 13 19 23 27
\u041f\u0440\u0438\u0432\u0435\u0442,\u0020\u043c\u0438\u0440!\u0020\u0393\u03b5\u03b9\u03ac\u0020\u03c3\u03bf\u03c5\u0020\u03ba\u03cc\u03c3\u03bc\u03b5.	0 8 13 18 22 28
emoji\u0020\ud83d\ude00\ud83d\udc4d\ud83c\udffd\u0020done	0 6 13 17
\u0020\u0020\u0020leading\u0020and\u0020trailing\u0020spaces\u0020\u0020\u0020	0 3 11 15 24 33
1/2\u00203:45\u002010-20\u00202026-09-21\u002012,345,678.90\u0020.5\u00205.\u00201.2.3\u0020v1.0-beta	0 4 6 9 12 15 20 23 26 40 41 43 46 52 55 57 61
Hello\u0020world\u0020foo	0 6 12 15
a-b	0 2 3
a-1	0 2 3
a\u0020-1	0 2 4
1-2	0 2 3
-b	0 1 2
a--b	0 3 4
www.example.com/foo/bar	0 4 12 23
a.b	0 2 3
a.\u0020b	0 3 4
1,000.50\u0020is	0 9 11
$1,000.50	0 9
(abc)\u0020def	0 6 9
abc(def)	0 3 8
abc\u0020(def)	0 4 9
a"b"\u0020c	0 2 5 6
a\u00a0b\u0020c	0 4 5
a\u2060b	0 3
a\u00adb	0 2 3
a\u200bb	0 3
a\u005cnb	0 4
a\u005cr\u005cnb	0 6
a\u005crb	0 4
a\u005cn\u005cnb	0 6
\u4e2d\u6587\u5b57	0 1 2 3
\u4e2d\u3002\u6587	0 2 3
\u300c\u4e2d\u300d\u6587	0 3 4
abc\u4e2ddef	0 3 4 7
a\u0020\u0020b	0 3 4
\u0020a	0 1 2
a\u005ctb	0 4
a/b	0 3
a!b	0 2 3
a?b	0 2 3
a:b	0 2 3
a;b	0 2 3
a,b	0 2 3
1.a	0 2 3
a.1	0 2 3
50%abc	0 3 6
50%\u0020abc	0 4 7
a\u2014b	0 2 3
a\u2013b	0 2 3
e\u0301a\u0020b	0 4 5
a\u2011b	0 3
a\u2007b	0 3
\u30a2\u30c3\u30d7	0 2 3
\u3042\u3083	0 2
\uac00\uac01	0 1 2
a\u2028b	0 2 3
a\u005cfb	0 4
a\u0085b	0 2 3
it's\u0020a	0 5 6
a'b	0 3
a@b.c	0 4 5
a&b	0 3
a=b	0 3
a+b	0 3
a_b	0 3
a*b	0 3
a#b	0 3
a~b	0 3
a|b	0 3
a\u005c\u005cu	0 4
x[1]y	0 1 4 5
x{1}y	0 1 4 5
<a>b	0 4
a<b	0 3
1/2	0 3
12:30	0 3 5
a\u3000b	0 2 3
(((a	0 4
a)))b	0 4 5
ab\u00a0\u00a0cd\u0020ef	0 7 9
a\u0020\u00a0b	0 4
a\u00a0\u0020b	0 4
\u00a0a	0 2
a\u0020b\u00a0	0 2 4
\ud83d\ude00\ud83d\ude00	0 4
a\ud83d\ude00b	0 4
\u0e01\u0e02\u0e03	0 3
a\u200db	0 3
a\ufeffb	0 3
a\u000ab	0 2 3
a\u000d\u000ab	0 3 4
a\u000db	0 2 3
a\u000a\u000ab	0 2 3 4
a\u0020\u000a\u0020b	0 3 4 5
a\u0009b	0 2 3
a\u000cb	0 2 3
